subject,group,seq_length,delta_proportion
124,human,3,0.03899755457720577
124,human,4,0.040965725488981294
124,human,5,-0.000497041072622468
124,human,6+,-0.0001219269102990033
125,human,1,0.06991549690085325
125,human,2,0.06009911182533399
125,human,3,0.029433703718225797
125,human,4,0.026661263326732937
125,human,5,0.008451189157740159
125,human,6+,-0.0001130970985671746
126,human,1,0.021554972707246378
126,human,2,0.05340480235599929
126,human,3,0.039172123469793
126,human,4,0.008568326497983177
126,human,5,0.00829990656186859
126,human,6+,-0.0002846764610179423
127,human,1,-0.025310358688930085
127,human,2,0.04604557823129225
127,human,3,0.06297006802721089
127,human,4,-0.00038287981859410426
127,human,5,-0.0001417233560090703
127,human,6+,0.0
128,human,1,0.013194928075396628
128,human,2,0.04173506424131443
128,human,3,0.009605211975524476
128,human,4,0.016099109224109225
128,human,5,-9.852430555555556e-05
128,human,6+,0.01437880608974359
129,human,1,-0.001309848484847831
129,human,2,0.04181363636363593
129,human,3,-0.000804545454545454
129,human,4,-0.0005272727272727274
129,human,5,0.0
129,human,6+,0.0
132,human,1,0.0019837891693723075
132,human,2,0.015156084136659864
132,human,3,0.0792172443948312
132,human,4,0.03864759270930884
132,human,5,0.07406939979882442
132,human,6+,0.03949135299306885
133,human,1,-0.017059567754656835
133,human,2,0.08871940062422179
133,human,3,0.029184488839074547
133,human,4,0.01963202050704348
133,human,5,-0.0003633710427897466
133,human,6+,-0.00014361153117181221
134,human,1,0.013055888238009183
134,human,2,0.04064640162671723
134,human,3,0.02772548566568665
134,human,4,0.0038525138198834095
134,human,5,-3.240116801437556e-05
134,human,6+,0.0
135,human,1,0.022381487575549586
135,human,2,0.07774846772244318
135,human,3,0.014180841391701164
135,human,4,-0.003319597010194893
135,human,5,-0.0003494509108782564
135,human,6+,-5.016722408026756e-06
136,human,1,0.03752915018685066
136,human,2,-0.009850679795718173
136,human,3,0.02019372885998182
136,human,4,-0.001939242242635068
136,human,5,-0.0005775614691431021
136,human,6+,-5.604525613398727e-05
137,human,1,0.02635906680800032
137,human,2,0.03917301783981307
137,human,3,0.025210727923819454
137,human,4,0.017484924562647986
137,human,5,-0.0009918776515883605
137,human,6+,-0.0005058463509223796
138,human,1,0.027076923076922887
138,human,2,-0.04841410256410255
