subject,condition,fixation_advantage
103,all,-3.0276
103,all,-2.4174
103,all,4.2746
103,all,1.4991999999999999
103,all,4.5638000000000005
103,all,-0.0678
103,all,0.299
103,all,-0.5454
103,all,-0.7238
103,all,-1.112
103,all,1.8878
103,all,-1.2412
103,all,2.3171999999999997
103,all,-1.1502000000000001
103,all,-0.16080000000000003
103,all,0.7674
103,all,0.014599999999999995
103,all,-0.8966000000000001
103,all,-1.0488
103,all,-0.14760000000000004
103,all,3.0574000000000003
103,all,-0.48020000000000007
103,all,3.7714000000000003
103,all,0.2765999999999999
103,all,4.2783999999999995
103,all,1.2118
103,all,-0.18259999999999998
103,all,-0.2888
103,all,0.7882
103,all,-0.26139999999999997
103,all,0.14639999999999997
103,all,-0.664
103,all,0.7737999999999999
103,all,0.07539999999999998
103,all,0.7736000000000001
103,all,0.7542000000000001
103,all,0.6502000000000001
103,all,0.5968
103,all,2.1582
103,all,0.6362000000000001
103,all,1.6822000000000001
103,all,4.8751999999999995
103,all,-0.8788
103,all,-0.9526
103,all,-0.6412000000000001
103,all,-1.1484
103,all,-0.4145999999999999
103,all,-0.4615999999999999
103,all,-0.6858
103,all,-0.4805999999999999
103,all,-0.49479999999999996
103,all,3.6074
103,all,-0.2078
103,all,-0.3644
103,all,0.5156000000000001
103,all,0.8074
103,all,0.24239999999999998
103,all,2.5542
103,all,-0.5107999999999999
103,all,-0.1172
103,all,-0.193
103,all,-0.2302
103,all,-0.26380000000000003
103,all,0.43019999999999997
103,all,-0.23439999999999997
103,all,-0.158
103,all,0.32739999999999997
103,all,-0.06660000000000002
103,all,0.3062
103,all,1.4724000000000002
103,all,-1.0162
103,all,-0.7976
103,all,-1.1888
103,all,0.1274000000000001
103,all,0.47720000000000007
103,all,1.4636
103,all,-0.6254000000000001
103,all,0.7817999999999999
103,all,1.9074000000000002
103,all,1.2286
103,all,2.3974
103,all,1.5036
103,all,2.4541999999999997
103,all,2.4086
103,all,3.357
103,all,2.4312
103,all,3.5778000000000003
103,all,0.2718000000000002
103,all,5.4758000000000004
103,all,0.5744000000000001
103,all,5.6743999999999994
103,all,0.7341999999999999
103,all,5.719600000000001
103,all,1.306
103,all,5.5928
103,all,2.0705999999999998
103,all,-2.7432
103,all,3.1202
103,all,5.659
103,all,1.9136
103,all,6.2490000000000006
103,all,2.9378
103,all,2.3901999999999997
103,all,-5.404
103,all,-2.9002
103,all,6.9932
103,all,2.5756000000000006
103,all,-5.3906
103,all,-3.0500000000000003
103,all,-4.886
103,all,7.078399999999999
103,all,2.1493999999999995
103,all,-3.3673999999999995
103,all,1.691
103,all,-0.122
103,all,0.551
103,all,-0.2556
103,all,-0.4158
103,all,0.7554
103,all,-0.4428
103,all,-0.11360000000000002
103,all,-0.47120000000000006
103,all,0.2598
103,all,-0.3976
103,all,0.192
103,all,1.7594
103,all,0.6712
103,all,1.8606
103,all,0.9924
103,all,-1.6974
103,all,-0.079
103,all,-0.12940000000000002
103,all,0.2938
103,all,-0.21559999999999999
103,all,0.055400000000000005
103,all,0.3704
103,all,-0.21380000000000002
103,all,1.342
103,all,-0.013800000000000012
103,all,1.2766
103,all,0.42979999999999996
103,all,1.222
103,all,2.0972
103,all,1.469
103,all,2.4706
103,all,1.059
103,all,5.201600000000001
103,all,1.581
103,all,-1.2715999999999998
103,all,-0.21580000000000002
103,all,1.006
103,all,-0.324
103,all,-0.3366
103,all,1.0144
103,all,-0.17039999999999997
103,all,0.11
103,all,-0.8134
103,all,0.7010000000000001
103,all,1.1824000000000001
103,all,0.25939999999999996
103,all,1.2288
103,all,1.403
103,all,1.8194000000000001
103,all,1.5190000000000001
103,all,2.5014000000000003
103,all,2.2064
103,all,2.7052
103,all,-0.32220000000000004
103,all,3.537
103,all,2.188
103,all,3.5236
103,all,-0.24280000000000018
103,all,2.673
103,all,4.3398
103,all,2.8941999999999997
103,all,4.291
103,all,0.2805999999999999
103,all,4.9316
103,all,0.7918000000000002
103,all,-0.040799999999999996
103,all,0.19140000000000001
103,all,-0.030400000000000007
103,all,0.2518
103,all,0.9214
103,all,-0.38439999999999996
103,all,-0.4482
103,all,-0.132
103,all,0.8248
103,all,0.035
103,all,0.3352
103,all,-0.013799999999999955
103,all,0.8102
103,all,0.5362
103,all,2.3878000000000004
103,all,0.6904
103,all,-0.7826
103,all,-1.2366
103,all,-0.547
103,all,-1.1062
103,all,0.7746000000000001
103,all,-0.8132
103,all,-0.045
103,all,-0.0846
103,all,0.1562
103,all,-0.1728
103,all,-0.0011999999999999886
103,all,-0.178
103,all,-0.02019999999999999
103,all,-0.18539999999999998
103,all,-0.6582
103,all,0.23839999999999997
103,all,-0.12
103,all,-0.2754
103,all,0.47700000000000004
103,all,0.4802
103,all,0.053200000000000046
103,all,0.9456
103,all,0.5566
103,all,0.5126000000000001
103,all,0.7834000000000001
103,all,-0.0514
103,all,0.165
103,all,-0.038200000000000005
103,all,-0.0506
103,all,-0.082
103,all,-0.017
103,all,0.68
103,all,0.061399999999999975
103,all,-0.6484
103,all,-0.5986
103,all,-0.08420000000000001
103,all,0.3912
103,all,-0.561
103,all,2.5886
103,all,-0.458
103,all,-0.7786000000000001
103,all,0.012399999999999977
103,all,-0.8877999999999999
103,all,2.7834000000000003
103,all,-0.9262
103,all,2.9786
103,all,0.388
103,all,-1.1238
103,all,-0.30960000000000004
