subject,correct_bin,game,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
105,1,5,2.7430502920178697,-2.0,-8.0,2,1
105,0,5,2.261646958999336,-2.0,-8.0,2,1
105,0,5,0.974659041967243,-3.0,3.0,2,1
105,1,5,1.831697165966034,1.0,3.0,2,1
105,0,6,2.264907708973624,-1.0,-6.0,2,2
105,0,6,4.788127833977342,-1.0,2.0,2,1
105,0,6,2.143643084098585,-3.0,-6.0,2,2
105,1,6,0.7578217500122264,-3.0,-8.0,2,1
105,1,6,1.4578304580645636,-1.0,,2,0
105,1,6,2.453181582968682,-3.0,,2,0
105,0,6,1.2086673750309274,-1.0,2.0,2,1
105,1,6,1.1570180000271648,-3.0,-8.0,2,1
105,1,7,2.415791915962473,1.0,-1.0,2,2
105,1,7,0.8172765000490472,1.0,-3.0,2,1
105,0,7,1.5505095419939607,-3.0,2.0,2,1
105,0,7,3.5523174579720944,-3.0,,2,0
105,1,7,1.8408980829408392,1.0,-1.0,2,2
105,1,7,1.913525625015609,-1.0,-1.0,2,2
105,1,7,4.233247790951282,-3.0,,2,0
105,0,7,0.6882112920284271,-1.0,,2,0
106,0,1,2.8335240409942344,-2.0,5.0,5,3
106,1,1,0.6281142910011113,1.0,8.0,5,3
106,1,1,7.456064291996881,1.0,-1.0,5,2
106,1,1,0.2255763750290498,5.0,7.0,5,2
106,1,1,0.4287027909886092,-6.0,-3.0,5,3
106,1,1,0.2897909169550985,-6.0,-3.0,5,3
106,1,1,0.1340597920352593,-2.0,-4.0,5,2
106,1,1,2.01708808389958,5.0,7.0,5,2
106,1,2,3.706560832913965,6.0,6.0,6,3
106,1,2,2.0237249169731513,12.0,13.0,6,3
106,1,2,0.5183191660325974,-1.0,-1.0,6,3
106,1,2,0.4517687499755993,11.0,12.0,6,3
106,1,2,2.135697999969125,4.0,5.0,6,3
106,0,2,2.771725958096795,2.0,3.0,6,3
106,1,2,2.234942250070162,8.0,8.0,6,3
106,0,2,2.05441516591236,-2.0,-2.0,6,3
106,1,3,14.918108790996484,-5.0,-5.0,5,3
106,0,3,4.4598969999933615,-2.0,0.0,5,2
106,1,3,1.605088124983013,2.0,4.0,5,2
106,1,3,5.856614290969446,-8.0,-8.0,5,3
106,1,3,7.002851124969311,-9.0,-9.0,5,3
106,0,3,5.042139875004068,-5.0,-5.0,5,3
106,1,3,0.2882426249561831,1.0,3.0,5,2
106,0,3,11.514413958997466,-2.0,0.0,5,2
106,1,4,8.043628499959596,-13.0,-3.0,5,3
106,0,4,8.080775292008184,1.0,-6.0,5,2
106,0,4,0.854230625089258,-5.0,-10.0,5,3
106,1,4,2.543876833980903,-5.0,1.0,5,3
106,0,4,1.6237369159935042,-7.0,-10.0,5,2
106,1,4,4.577835625037551,-7.0,1.0,5,2
106,0,4,3.046500957920216,-5.0,1.0,5,3
106,0,4,3.699104957981035,-7.0,-10.0,5,2
106,1,5,25.471419292036444,2.0,2.0,5,3
106,1,5,5.125018166960217,-1.0,-1.0,5,3
106,1,5,2.560310333967209,2.0,-1.0,5,2
106,1,5,2.290591500001028,3.0,0.0,5,2
106,1,5,2.4461863751057535,2.0,-1.0,5,2
106,1,5,3.755572957918048,-2.0,-2.0,5,3
106,1,5,4.2599175840150565,-1.0,-1.0,5,3
106,1,5,1.0041726670460775,-1.0,-4.0,5,2
106,1,6,11.463948999997228,5.0,8.0,5,2
106,1,6,3.057079792022705,5.0,6.0,5,2
106,0,6,7.843068792019039,1.0,1.0,5,3
106,0,6,10.158157333964482,1.0,-1.0,5,3
106,1,6,1.2549979999894276,7.0,5.0,5,3
106,1,6,4.847874375060201,-1.0,2.0,5,2
106,1,6,0.4887577920453623,5.0,8.0,5,2
106,0,6,1.505555666051805,1.0,-1.0,5,3
106,1,7,8.256629499956034,3.0,-5.0,6,3
106,1,7,0.6997970830416307,-1.0,-1.0,6,3
106,0,7,5.8546184580773115,-1.0,-1.0,6,3
106,1,7,2.625955957919359,-1.0,-11.0,6,3
106,0,7,1.035131916985847,1.0,-9.0,6,3
106,1,7,1.5426541669294238,-3.0,-5.0,6,3
106,1,7,0.7719101670663804,1.0,1.0,6,3
106,1,7,2.3637077909661457,1.0,-9.0,6,3
107,1,1,25.581430041929707,3.0,2.0,5,2
107,0,1,7.316948457970284,-1.0,10.0,5,2
107,0,1,16.05985366704408,-1.0,-4.0,5,2
107,1,1,2.7563375839963555,-3.0,-2.0,5,3
107,0,1,6.240629833075218,-1.0,10.0,5,2
107,0,1,2.4058207499329,1.0,-10.0,5,3
107,1,1,12.453181333024986,1.0,4.0,5,3
107,0,1,2.957775916089304,1.0,-10.0,5,3
107,1,2,15.500886916997842,-5.0,0.0,5,2
107,0,2,19.565811500069685,-9.0,5.0,5,2
107,1,2,7.235825791023672,-3.0,6.0,5,3
107,1,2,6.728127708076499,-5.0,9.0,5,2
107,1,2,8.164197333040647,-5.0,4.0,5,3
107,1,2,11.628369000041856,-3.0,-3.0,5,3
107,1,2,5.084119000006467,1.0,1.0,5,3
107,0,2,7.440315291984007,-3.0,2.0,5,2
107,1,3,17.711404417059384,4.0,-3.0,5,3
107,1,3,3.335698000038974,3.0,-1.0,5,3
107,0,3,6.245647665928118,2.0,1.0,5,2
107,1,3,19.456212916993536,1.0,3.0,5,2
107,0,3,15.22476158302743,7.0,9.0,5,3
107,0,3,4.2795675420202315,7.0,-4.0,5,3
107,0,3,10.430920916958712,-2.0,4.0,5,2
107,1,3,3.9327957089990377,-2.0,-9.0,5,2
107,1,4,5.7851755829760805,1.0,6.0,3,1
107,1,4,12.00018245796673,2.0,4.0,3,1
107,0,4,16.073909915983677,-2.0,2.0,3,2
107,0,4,10.026691583101638,-1.0,0.0,3,2
107,1,4,6.079415250103921,-1.0,4.0,3,1
107,1,4,7.388421625015326,1.0,2.0,3,2
107,1,4,1.2317042500944808,1.0,2.0,3,2
107,1,4,10.700646292068996,-1.0,4.0,3,1
107,1,5,5.146667541004717,6.0,1.0,4,1
107,1,5,0.5580921670189127,3.0,6.0,4,2
