subject,game,option,choice,correct,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
108,2,Solid,0.0,1.0,23.351438875077292,-7.0,-7.0,5,3
108,2,Large,0.0,1.0,14.330751167028213,-6.0,2.0,5,2
108,2,Animal,0.0,1.0,4.227787292096764,-6.0,-5.0,5,3
108,2,Object,1.0,0.0,1.5534402909688652,-7.0,0.0,5,2
108,2,Small,1.0,0.0,3.038086959044449,-7.0,-7.0,5,3
108,3,Land,0.0,1.0,20.462851708987728,-4.0,-4.0,6,3
108,3,Pattern,1.0,1.0,16.090838625095785,2.0,2.0,6,3
108,3,Animal,0.0,1.0,4.992626124992967,-4.0,-4.0,6,3
108,3,Object,1.0,1.0,11.15167383395601,7.0,7.0,6,3
108,3,Sea,1.0,1.0,10.574085791013204,7.0,7.0,6,3
108,3,Large,1.0,1.0,13.171709959045984,1.0,1.0,6,3
108,3,Small,1.0,1.0,13.431264540995471,2.0,2.0,6,3
108,3,Solid,1.0,1.0,17.56397070805542,1.0,1.0,6,3
108,4,Large,1.0,1.0,19.99227895902004,2.0,2.0,6,3
108,4,Small,0.0,1.0,10.496484915958716,-4.0,-4.0,6,3
108,4,Land,0.0,1.0,21.719300207914785,-1.0,-1.0,6,3
108,4,Object,0.0,1.0,8.840685790986754,-3.0,-3.0,6,3
108,4,Solid,1.0,1.0,17.951579749933444,2.0,2.0,6,3
108,4,Animal,1.0,1.0,8.166923791985027,1.0,1.0,6,3
108,4,Sea,0.0,1.0,16.97128237504512,-1.0,-1.0,6,3
108,4,Pattern,0.0,1.0,6.2863810419803485,-4.0,-4.0,6,3
108,5,Small,0.0,0.0,52.66230141709093,2.0,-7.0,5,2
108,5,Animal,0.0,1.0,12.221284125000238,-1.0,-10.0,5,2
108,5,Sea,1.0,1.0,13.674698290997185,2.0,-7.0,5,2
108,5,Pattern,0.0,1.0,17.609696416999213,-1.0,-1.0,5,3
108,5,Land,0.0,1.0,11.02774637506809,-1.0,-1.0,5,3
108,5,Large,1.0,0.0,22.29440200002864,-1.0,-1.0,5,3
108,5,Object,1.0,1.0,6.7792512079468,2.0,2.0,5,3
