subject,choice_bin,recalled_offer_value,game,rt,recalled_total_count,recalled_offer_count
106,0,-4.0,5,1.0041726670460775,5,2
106,1,8.0,6,11.463948999997228,5,2
106,1,6.0,6,3.057079792022705,5,2
106,0,1.0,6,7.843068792019039,5,3
106,0,-1.0,6,10.158157333964482,5,3
106,1,5.0,6,1.2549979999894276,5,3
106,0,2.0,6,4.847874375060201,5,2
106,1,8.0,6,0.4887577920453623,5,2
106,0,-1.0,6,1.505555666051805,5,3
106,1,-5.0,7,8.256629499956034,6,3
106,0,-1.0,7,0.6997970830416307,6,3
106,1,-1.0,7,5.8546184580773115,6,3
106,0,-11.0,7,2.625955957919359,6,3
106,0,-9.0,7,1.035131916985847,6,3
106,0,-5.0,7,1.5426541669294238,6,3
106,1,1.0,7,0.7719101670663804,6,3
106,1,-9.0,7,2.3637077909661457,6,3
107,1,2.0,1,25.581430041929707,5,2
107,1,10.0,1,7.316948457970284,5,2
107,1,-4.0,1,16.05985366704408,5,2
107,0,-2.0,1,2.7563375839963555,5,3
107,1,10.0,1,6.240629833075218,5,2
107,0,-10.0,1,2.4058207499329,5,3
107,1,4.0,1,12.453181333024986,5,3
107,0,-10.0,1,2.957775916089304,5,3
107,0,0.0,2,15.500886916997842,5,2
107,1,5.0,2,19.565811500069685,5,2
107,0,6.0,2,7.235825791023672,5,3
107,0,9.0,2,6.728127708076499,5,2
107,0,4.0,2,8.164197333040647,5,3
107,0,-3.0,2,11.628369000041856,5,3
107,1,1.0,2,5.084119000006467,5,3
107,1,2.0,2,7.440315291984007,5,2
107,1,-3.0,3,17.711404417059384,5,3
107,1,-1.0,3,3.335698000038974,5,3
107,0,1.0,3,6.245647665928118,5,2
107,1,3.0,3,19.456212916993536,5,2
107,0,9.0,3,15.22476158302743,5,3
107,0,-4.0,3,4.2795675420202315,5,3
107,1,4.0,3,10.430920916958712,5,2
107,0,-9.0,3,3.9327957089990377,5,2
107,1,6.0,4,5.7851755829760805,3,1
107,1,4.0,4,12.00018245796673,3,1
107,1,2.0,4,16.073909915983677,3,2
107,1,0.0,4,10.026691583101638,3,2
107,0,4.0,4,6.079415250103921,3,1
107,1,2.0,4,7.388421625015326,3,2
107,1,2.0,4,1.2317042500944808,3,2
107,0,4.0,4,10.700646292068996,3,1
