subject_id,game,trial_number,option,rt_s,total_fix_time_ms,n_fixations,total_fix_time_s,true_offer_value,recalled_offer_value,accept
105,5,34,Animal,3.747956500039436,1075.0,6,1.075,-3.0,-4.0,0.0
105,5,35,Sea,5.405779791995883,1441.0,3,1.441,1.0,12.0,0.0
105,5,36,Object,6.345956749981269,1315.0,4,1.315,2.0,-1.0,0.0
105,5,37,Land,2.7430502920178697,1835.0,5,1.835,-2.0,-17.0,0.0
105,5,38,Large,2.261646958999336,291.0,1,0.291,-2.0,-17.0,1.0
105,5,39,Solid,0.974659041967243,196.0,1,0.196,-3.0,3.0,1.0
105,5,40,Small,1.831697165966034,205.0,2,0.205,1.0,12.0,1.0
105,6,41,Solid,2.264907708973624,1775.0,3,1.775,-1.0,-3.0,1.0
105,6,42,Small,4.788127833977342,2344.0,6,2.344,-1.0,-5.0,1.0
105,6,43,Object,2.143643084098585,401.0,2,0.401,-3.0,-8.0,1.0
105,6,44,Sea,0.7578217500122264,213.0,1,0.213,-3.0,-9.0,0.0
105,6,45,Animal,1.4578304580645636,725.0,1,0.725,-1.0,-6.0,0.0
105,6,46,Pattern,2.453181582968682,834.0,1,0.834,-3.0,-11.0,0.0
105,6,48,Large,1.1570180000271648,583.0,2,0.583,-3.0,-9.0,0.0
105,7,49,Pattern,2.415791915962473,503.0,3,0.503,1.0,2.0,1.0
105,7,50,Animal,0.8172765000490472,234.0,1,0.234,1.0,-5.0,1.0
105,7,51,Object,1.5505095419939607,367.0,2,0.367,-3.0,6.0,1.0
105,7,52,Solid,3.5523174579720944,1087.0,3,1.087,-3.0,-1.0,1.0
105,7,53,Small,1.8408980829408392,232.0,1,0.232,1.0,1.0,1.0
105,7,54,Land,1.913525625015609,161.0,1,0.161,-1.0,0.0,0.0
106,1,1,Animal,2.8335240409942344,1393.0,3,1.393,-2.0,5.0,1.0
106,1,2,Solid,0.6281142910011113,9.0,1,0.009,1.0,8.0,1.0
106,2,10,Object,2.0237249169731513,373.0,1,0.373,12.0,13.0,1.0
106,2,11,Small,0.5183191660325974,175.0,1,0.175,-1.0,-1.0,0.0
106,2,14,Sea,2.771725958096795,974.0,3,0.974,2.0,3.0,0.0
106,2,16,Animal,2.05441516591236,467.0,2,0.467,-2.0,-2.0,1.0
106,3,17,Large,14.918108790996484,3420.0,8,3.42,-5.0,-5.0,0.0
106,3,18,Small,4.4598969999933615,351.0,2,0.351,-2.0,-3.0,1.0
106,3,19,Land,1.605088124983013,823.0,3,0.823,2.0,1.0,1.0
106,3,20,Solid,5.856614290969446,2026.0,4,2.026,-8.0,-8.0,0.0
106,3,21,Sea,7.002851124969311,740.0,3,0.74,-9.0,-9.0,0.0
106,3,22,Object,5.042139875004068,678.0,2,0.678,-5.0,-5.0,1.0
106,3,24,Animal,11.514413958997466,630.0,3,0.63,-2.0,-3.0,1.0
106,4,25,Object,8.043628499959596,3163.0,9,3.163,-13.0,-3.0,0.0
106,4,26,Animal,8.080775292008184,3119.0,8,3.119,1.0,-13.0,0.0
106,4,27,Pattern,0.854230625089258,50.0,1,0.05,-5.0,-10.0,1.0
106,4,28,Large,2.543876833980903,356.0,1,0.356,-5.0,1.0,0.0
106,4,29,Land,1.6237369159935042,508.0,2,0.508,-7.0,-17.0,1.0
106,4,30,Solid,4.577835625037551,1573.0,4,1.573,-7.0,-6.0,0.0
106,4,31,Sea,3.046500957920216,1297.0,2,1.297,-5.0,1.0,1.0
106,4,32,Small,3.699104957981035,225.0,1,0.225,-7.0,-17.0,1.0
106,5,33,Land,25.471419292036444,15286.0,32,15.286,2.0,2.0,1.0
