phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,46.75534649984911,47.26069649984129,16,3,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,image,47.260818749899045,48.27130674989894,16,3,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,value,48.27140812482685,54.28346895799041,16,3,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,attention,54.28359074983746,57.30059837503359,16,3,Animal_Sea_Solid_Large,-2,-2,1,1.1171989999711514,,,,,,,,
encoding,fixation,57.300775500014424,57.8056495829951,17,3,Object_Land_Solid_Large,8,,,,,,,,,,,
encoding,image,57.8057429168839,58.815737541997805,17,3,Object_Land_Solid_Large,8,,,,,,,,,,,
encoding,value,58.81584654189646,64.82594962487929,17,3,Object_Land_Solid_Large,8,,,,,,,,,,,
encoding,attention,64.8260697920341,67.84203366702422,17,3,Object_Land_Solid_Large,8,+8,1,1.3913936249446124,,,,,,,,
encoding,fixation,67.8421811668668,68.59753150003962,18,3,Animal_Sea_Pattern_Small,8,,,,,,,,,,,
encoding,image,68.59764354187064,69.6095582919661,18,3,Animal_Sea_Pattern_Small,8,,,,,,,,,,,
encoding,value,69.6097365419846,75.62114883284084,18,3,Animal_Sea_Pattern_Small,8,,,,,,,,,,,
encoding,attention,75.62127424986102,78.63853970798664,18,3,Animal_Sea_Pattern_Small,8,+8,1,0.93052599998191,,,,,,,,
n-back,,,,61,3,,,,1,None,Z,False,None,,,,,
n-back,,,,62,3,,,,0,None,N,True,None,,,,,
n-back,,,,63,3,,,,1,0.4132947919424623,Z,True,1,,,,,
n-back,,,,64,3,,,,1,None,C,False,None,,,,,
n-back,,,,65,3,,,,1,None,X,False,None,,,,,
n-back,,,,66,3,,,,1,None,B,False,None,,,,,
n-back,,,,67,3,,,,1,None,B,False,None,,,,,
n-back,,,,68,3,,,,1,0.5272632089909166,B,True,1,,,,,
n-back,,,,69,3,,,,1,None,X,False,None,,,,,
n-back,,,,70,3,,,,1,None,V,False,None,,,,,
n-back,,,,71,3,,,,1,None,N,False,None,,,,,
n-back,,,,72,3,,,,1,None,N,False,None,,,,,
n-back,,,,73,3,,,,1,None,V,False,None,,,,,
n-back,,,,74,3,,,,1,None,V,False,None,,,,,
n-back,,,,75,3,,,,1,None,B,False,None,,,,,
n-back,,,,76,3,,,,1,0.36316962516866624,V,True,1,,,,,
n-back,,,,77,3,,,,0,None,B,True,None,,,,,
n-back,,,,78,3,,,,1,None,C,False,None,,,,,
n-back,,,,79,3,,,,1,None,C,False,None,,,,,
n-back,,,,80,3,,,,1,0.37487537506967783,C,True,1,,,,,
n-back,,,,81,3,,,,1,None,N,False,None,,,,,
n-back,,,,82,3,,,,1,None,N,False,None,,,,,
n-back,,,,83,3,,,,1,0.4512507498729974,N,True,1,,,,,
n-back,,,,84,3,,,,1,None,Z,False,None,,,,,
n-back,,,,85,3,,,,1,None,V,False,None,,,,,
n-back,,,,86,3,,,,1,0.4595264168456197,Z,True,1,,,,,
n-back,,,,87,3,,,,0,None,V,True,None,,,,,
n-back,,,,88,3,,,,0,None,Z,True,None,,,,,
n-back,,,,89,3,,,,1,None,N,False,None,,,,,
n-back,,,,90,3,,,,1,None,B,False,None,,,,,
choice,fixation,150.90788208297454,152.16124762501568,17,3,,,,,,,,,Solid,,,,
choice,option,152.17018191702664,153.1983954999596,17,3,,,,,,,,,Solid,,,,
choice,choice,153.19851204194129,159.6594890418928,17,3,,,1,1,5.449447999941185,,,,Solid,,,,
choice,fixation,159.6596143329516,161.16499695787206,18,3,,,,,,,,,Animal,,,,
choice,option,161.17411416699179,162.20229399995878,18,3,,,,,,,,,Animal,,,,
choice,choice,162.20240158285014,165.0573990829289,18,3,,,1,1,1.8451766250655055,,,,Animal,,,,
choice,fixation,165.05759145785123,166.56260537495837,19,3,,,,,,,,,Sea,,,,
choice,option,166.5708927079104,167.59749075002037,19,3,,,,,,,,,Sea,,,,
choice,choice,167.59759904188104,169.05684895790182,19,3,,,1,1,0.4486947499681264,,,,Sea,,,,
choice,fixation,169.0569739579223,170.06155895791017,20,3,,,,,,,,,Large,,,,
choice,option,170.07016816688702,171.09698616690002,20,3,,,,,,,,,Large,,,,
choice,choice,171.09708445798606,173.98602987499908,20,3,,,2,0,1.878378874855116,,,,Large,,,,
choice,fixation,173.98619741690345,175.2431679170113,21,3,,,,,,,,,Land,,,,
choice,option,175.252040958032,176.27822008286603,21,3,,,,,,,,,Land,,,,
choice,choice,176.27832516701892,177.70493599982,21,3,,,2,1,0.417026124894619,,,,Land,,,,
choice,fixation,177.70507066696882,178.4610218750313,22,3,,,,,,,,,Pattern,,,,
choice,option,178.47009983286262,179.4967116669286,22,3,,,,,,,,,Pattern,,,,
choice,choice,179.49680687487125,181.92233370803297,22,3,,,1,0,1.4143717498518527,,,,Pattern,,,,
choice,fixation,181.92246429203078,182.42769216699526,23,3,,,,,,,,,Object,,,,
choice,option,182.43708645785227,183.46338824997656,23,3,,,,,,,,,Object,,,,
choice,choice,183.4634887080174,185.31657379190437,23,3,,,2,1,0.8436330419499427,,,,Object,,,,
choice,fixation,185.31668854202144,186.82190566696227,24,3,,,,,,,,,Small,,,,
choice,option,186.8313579580281,187.86057049990632,24,3,,,,,,,,,Small,,,,
choice,choice,187.86068349983543,189.33015445782803,24,3,,,1,0,0.4599133748561144,,,,Small,,,,
memory,free_recall,216.70940575003624,233.46873650001362,12,3,,,,,,,,,,,,,
memory,value_recall,255.41178549989127,259.9466191669926,13,3,Animal_Sea_Solid_Small,,,,4.531608209013939,,,,,-5,,,
memory,value_recall,261.24336083303206,264.9397129579447,14,3,Object_Land_Pattern_Small,,,,3.692249499959871,,,,,-8,,,
memory,value_recall,266.48575100000016,269.66080791689456,15,3,Object_Land_Pattern_Large,,,,3.170774291967973,,,,,-4,,,
memory,value_recall,271.207716624951,273.4600799579639,16,3,Animal_Sea_Solid_Large,,,,2.248234458034858,,,,,-2,,,
memory,value_recall,275.2564922920428,277.0845643749926,17,3,Animal_Sea_Pattern_Small,,,,1.823799000121653,,,,,8,,,
memory,value_recall,278.1303199578542,284.0192344170064,18,3,Object_Land_Solid_Large,,,,5.885604250011966,,,,,8,,,
memory,spatial_recall,292.2168993749656,297.73734587500803,18,3,Object_Land_Solid_Large,,,1,5.5160148330032825,,,,,,"[329, -190]","[329, -190]",
memory,spatial_recall,299.54630629182793,301.1339184169192,18,3,Animal_Sea_Solid_Small,,,1,1.583364208927378,,,,,,"[-329, 190]","[-329, 190]",
memory,spatial_recall,302.4417883330025,303.53706454182975,18,3,Animal_Sea_Pattern_Small,,,1,1.0912069999612868,,,,,,"[-329, -190]","[-329, -190]",
memory,spatial_recall,305.3443196248263,306.4873479169328,18,3,Object_Land_Pattern_Small,,,1,1.1387761670630425,,,,,,"[329, 189]","[329, 189]",
memory,spatial_recall,308.547918374883,309.7209220419172,18,3,Object_Land_Pattern_Large,,,1,1.1691009169444442,,,,,,"[0, 380]","[0, 380]",
memory,spatial_recall,311.77791199996136,313.35126862488687,18,3,Animal_Sea_Solid_Large,,,1,1.5693054581061006,,,,,,"[0, -380]","[0, -380]",
encoding,fixation,8.213106291834265,8.968842959031463,19,4,Animal_Land_Pattern_Large,-8,,,,,,,,,,,
encoding,image,8.968953458825126,9.980502791935578,19,4,Animal_Land_Pattern_Large,-8,,,,,,,,,,,
encoding,value,9.980611542006955,15.995931583922356,19,4,Animal_Land_Pattern_Large,-8,,,,,,,,,,,
encoding,attention,15.996057834010571,19.013997583882883,19,4,Animal_Land_Pattern_Large,-8,-8,1,0.7228979580104351,,,,,,,,
encoding,fixation,19.014140833867714,19.519179709022865,20,4,Animal_Sea_Solid_Small,2,,,,,,,,,,,
encoding,image,19.51929383398965,20.530467999866232,20,4,Animal_Sea_Solid_Small,2,,,,,,,,,,,
encoding,value,20.530587208922952,26.54218141688034,20,4,Animal_Sea_Solid_Small,2,,,,,,,,,,,
encoding,attention,26.54229487502016,29.559793499996886,20,4,Animal_Sea_Solid_Small,2,+2,1,0.5913218329660594,,,,,,,,
