combo,rep,seed_fit,seed_sim,noise_param,d_true,theta_true,sigma_true,mu_true,d_hat,theta_hat,sigma_hat,mu_hat,d_true_per_s,sigma_true_per_s,d_hat_per_s,sigma_hat_per_s,fit_fval,elapsed_s,hit_d_min,hit_d_max,hit_theta_min,hit_theta_max,hit_sigma_min,hit_sigma_max
46,1,460224,461223,mu,4.2216722375780873e-05,0.9618886400983114,0.0001491574506575,3.5331366876355923,4.108085387660306e-05,0.9899999801778224,0.0001198424223136,2.9172329931013765,0.0422167223757808,0.0047167727406218,0.041080853876603,0.0037897501482277,4715.867924995952,989.5146250724792,0,0,0,1,0,0
36,1,360224,361223,mu,3.595262298728443e-05,0.1767328861525047,0.0022992574224545,63.952424925095414,3.391546050187572e-05,0.2016752535578485,0.0028331875211846,83.53675519245719,0.0359526229872844,0.072708903820044,0.0339154605018757,0.0895932560531002,4280.3506835799735,2012.8989808559415,0,0,0,0,0,0
49,1,490224,491223,mu,9.849261848735816e-05,0.7527467454092587,0.0020792404255492,21.110621866715412,9.940627071330522e-05,0.7190679514874669,0.0024404880702543,24.550645072411207,0.0984926184873581,0.0657513554783348,0.0994062707133052,0.0771750090447286,4758.752901233569,715.5669269561768,0,0,0,0,0,0
50,1,500224,501223,mu,8.64221504809537e-05,0.6411692780366557,0.0046201895213513,53.46070996427631,7.236326169745468e-05,0.8276227269939753,0.0056221617607042,77.69359242276886,0.0864221504809537,0.1461032210911328,0.0723632616974546,0.1777883653772783,4661.84777280568,715.8200798034668,0,0,0,0,0,0
52,1,520224,521223,mu,3.2743493206752804e-05,0.147239444301927,7.786364546342988e-05,2.3779883524269727,3.190641238624301e-05,0.1646608983558525,0.0012125243631126,38.00252903505556,0.0327434932067528,0.0024622646658827,0.031906412386243,0.0383433870588104,4244.682736130388,816.29532122612,0,0,0,0,0,0
55,1,550224,551223,mu,0.0001418228368025,0.8022890063033048,0.0073853437885032,52.0744328276728,0.0001517510504404,0.718952991001599,0.0072380199956824,47.696671454166214,0.1418228368025281,0.2335450767504714,0.1517510504404441,0.228886289361987,4646.133704095983,362.90203309059143,0,0,0,0,0,0
57,1,570224,571223,mu,0.000467955649344,0.1855094696229888,0.0180062924766978,38.47863040426653,0.0004717389366445,0.0903098196401094,0.0176036054533113,37.316413986357595,0.4679556493440399,0.5694089644151961,0.4717389366445275,0.556674882634246,3677.3059652700895,149.72501373291016,0,0,0,0,0,0
54,1,540224,541223,mu,5.782764358578933e-05,0.2226178232807673,0.0024958567599736,43.16027085335037,6.305299703280291e-05,0.1550016208250803,8.516843680298864e-05,1.3507436729562643,0.0578276435857893,0.0789259207504499,0.0630529970328029,0.0026932624505355,4309.368288519501,903.8269319534302,0,0,0,0,0,0
60,1,600224,601223,mu,0.000418836211523,0.7779152397347495,0.0016433293352635,3.923560785940381,0.0004040957757459,0.8128607659414027,0.0020918541781626,5.176629659889467,0.4188362115230258,0.0519666364520335,0.4040957757459754,0.0661502373593366,4773.178273663137,96.96297407150269,0,0,0,0,0,0
58,1,580224,581223,mu,0.0001709946422107,0.0985219494146025,0.0006074308129695,3.5523382786518236,0.0001782963814315,0.125105407391653,0.0002031592964105,1.1394471092424394,0.1709946422107189,0.0192086488995139,0.1782963814315321,0.0064244610449459,3958.611776632904,508.1472771167755,0,0,0,0,1,0
53,1,530224,531223,mu,1.0147573802417473e-05,0.4937756683817387,0.0001320227691457,13.01027927624336,1.0000054137635824e-05,0.4843585416316552,1.2051719591096923e-05,1.2051654346289515,0.0101475738024174,0.0041749265350314,0.0100000541376358,0.0003811088362953,3295.7167884656624,1388.005184173584,1,0,0,0,0,0
56,1,560224,561223,mu,7.154800728964213e-05,0.7345097498274952,9.01397118630036e-05,1.259849369362562,7.100652326053315e-05,0.7371839558417506,0.0002071717837532,2.91764438308211,0.0715480072896421,0.0028504679711839,0.0710065232605331,0.0065513470358024,4710.734489059992,1049.603807926178,0,0,0,0,0,0
62,1,620224,621223,mu,0.0003293219224673,0.2939324105054774,0.0018383996797975,5.5823786829120055,0.0003171614451252,0.3252317087959717,0.0045128387057489,14.228837631783987,0.3293219224673873,0.0581353023788447,0.3171614451252382,0.1427084902313318,4063.161112535196,320.1960928440094,0,0,0,0,0,0
63,1,630224,631223,mu,0.0001355745503299,0.1170600850939468,0.001264411920178,9.326322064879426,0.000141017485451,0.1577530708244727,0.0002332884828055,1.6543230937590077,0.1355745503299194,0.039984215684296,0.1410174854510938,0.0073772295755062,4014.4505837517304,521.5573661327362,0,0,0,0,0,0
26,1,260224,261223,mu,1.0710008944153753e-05,0.4194966318172781,0.0002849963892593,26.61028489755679,1.0527821119041563e-05,0.4307980926012746,0.0003154411443171,29.962623865885032,0.0107100089441537,0.0090123771498337,0.0105278211190415,0.0099751248377211,3376.7816532251086,4581.249799013138,1,0,0,0,0,0
61,1,610224,611223,mu,9.97639188905718e-05,0.9326857280907817,0.0001747505685282,1.7516409787381368,9.641225999092472e-05,0.9662498297092952,0.0007261045294106,7.531246850546127,0.0997639188905717,0.0055260981895855,0.0964122599909247,0.0229614413230248,4725.752075465849,863.3376758098602,0,0,0,0,0,0
59,1,590224,591223,mu,3.4053975874826634e-05,0.1164146630891795,5.551388364469923e-05,1.6301733415432464,3.468377104964546e-05,0.1024201054015186,0.000121066138618,3.490570227923844,0.0340539758748266,0.0017555031407881,0.0346837710496454,0.0038284474555461,4249.837107090935,1123.590754032135,0,0,0,0,0,0
69,1,690224,691223,mu,0.0007802375401663,0.5831990311376666,0.0035780986354449,4.585909356120259,0.0007812513282125,0.560696773364475,0.0016733199080532,2.141845840930066,0.7802375401663172,0.1131494138074659,0.7812513282125894,0.0529150216355171,4377.69433201079,57.26723289489746,0,0,0,0,0,0
65,1,650224,651223,mu,6.19881804812228e-05,0.5221447572912135,0.0034841586844922,56.206822936957266,7.469966715602985e-05,0.3929700722528116,0.0016686950043472,22.338720745057003,0.0619881804812227,0.1101787717245146,0.0746996671560298,0.052768769338819,4618.293647928696,606.8492510318756,0,0,0,0,0,0
48,1,480224,481223,mu,1.1617263585076231e-05,0.4305773267042581,0.0001337464260689,11.512730609023013,1.1893472323283073e-05,0.3984704069237774,4.62570048698192e-05,3.889276706791917,0.0116172635850762,0.0042294333528534,0.011893472323283,0.0014627749312612,3442.217803127622,2818.403469085694,1,0,0,0,0,0
64,1,640224,641223,mu,7.496882827831764e-05,0.7035656862871356,0.0052557466440037,70.10575948302265,0.0001088797952097,0.4437406556337341,0.0003171817145111,2.913136582412577,0.0749688282783176,0.1662013019983803,0.1088797952097503,0.0100301665001239,4593.159909591486,928.0836479663848,0,0,0,0,0,0
68,1,680224,681223,mu,0.0001766512863752,0.803546022668292,0.0014049423458178,7.9531962356248895,0.0001482485343044,0.9894002277224532,0.0039948252946352,26.946811402749667,0.176651286375243,0.0444281779400443,0.1482485343044186,0.1263274678550056,4751.798243843764,454.8309168815613,0,0,0,1,0,0
67,1,670224,671223,mu,8.683635318084864e-05,0.5017849945056805,0.0001362991723007,1.5696095852497347,8.573528294657252e-05,0.5057862257831744,0.000264867652784,3.089365820943924,0.0868363531808486,0.0043101582766623,0.0857352829465725,0.0083758506130038,4585.840009115338,558.5030562877655,0,0,0,0,0,0
71,1,710224,711223,mu,9.360149948924567e-05,0.6546042211916713,0.0063217199635323,67.53866121833524,0.0001344887825355,0.4287324328024676,0.0009929143545142,7.38287859994392,0.0936014994892456,0.1999103381451879,0.1344887825355555,0.0313987088174096,4449.019785085606,396.2071633338928,0,0,0,0,0,0
70,1,700224,701223,mu,7.42424269510043e-05,0.7961685908661379,0.0067060190720399,90.32596787906144,8.443554368851275e-05,0.6533707701328806,0.0062465347648927,73.97991997228789,0.0742424269510042,0.2120629430017511,0.0844355436885127,0.1975327734048561,4475.548538955198,569.8201422691345,0,0,0,0,0,0
72,1,720224,721223,mu,0.0001092019234474,0.6812541154775824,0.0073445982767105,67.25704131250762,0.0001260818155967,0.5489051754251387,0.006446492212358,51.12943672208591,0.1092019234474518,0.2322565905335299,0.1260818155967168,0.2038559830958925,4451.173499212702,390.48498606681824,0,0,0,0,0,0
77,1,770224,771223,mu,0.0001660694153026,0.0318795488596408,0.0024257509890376,14.606849699667478,0.000167443570193,0.0135754525380096,0.0001737787174458,1.0378345208805766,0.1660694153026607,0.0767089816176503,0.1674435701930704,0.0054953655599175,3809.269440279989,252.68385529518127,0,0,0,0,1,0
74,1,740224,741223,mu,0.0001437445665751,0.5766238330036328,0.0045308766282884,31.52033315929295,0.0001540640610246,0.539092388967493,0.0028693075128596,18.624119692654357,0.1437445665751981,0.1432788994261547,0.1540640610246585,0.0907354704806935,4606.469930818671,544.1818721294403,0,0,0,0,0,0
78,1,780224,781223,mu,0.0003074384731784,0.0464346448037951,0.0028072396763653,9.131061728685406,0.0003172724975378,0.0707743106740956,0.0005416158272055,1.7070998318754258,0.3074384731784694,0.088772713153086,0.3172724975378553,0.0171273963076578,3791.649870940307,271.6638398170471,0,0,0,0,0,0
