subject_id,fixation_position,prop_relevant,group
H134,16,0.8571428571428571,human
H134,17,0.4,human
H134,18,0.6,human
H134,19,0.3333333333333333,human
H134,20,0.0,human
H135,1,0.4528301886792453,human
H135,2,0.5869565217391305,human
H135,3,0.4883720930232558,human
H135,4,0.5142857142857142,human
H135,5,0.5333333333333333,human
H135,6,0.4444444444444444,human
H135,7,0.4166666666666667,human
H135,8,0.7272727272727273,human
H135,9,0.5294117647058824,human
H135,10,0.5833333333333334,human
H135,11,0.25,human
H135,12,0.8181818181818182,human
H135,13,0.375,human
H135,14,0.8,human
H135,15,0.6,human
H135,16,0.8,human
H135,17,0.4,human
H135,18,0.2,human
H135,19,0.6,human
H135,20,0.6,human
H135,21,0.4,human
H135,22,0.75,human
H135,23,0.6666666666666666,human
H135,24,1.0,human
H135,25,1.0,human
H135,26,1.0,human
H135,27,1.0,human
H135,28,1.0,human
H135,29,1.0,human
H135,30,1.0,human
H135,31,0.0,human
H135,32,0.0,human
H135,33,0.0,human
H136,1,0.34545454545454546,human
H136,2,0.6938775510204082,human
H136,3,0.3902439024390244,human
H136,4,0.5277777777777778,human
H136,5,0.375,human
H136,6,0.6923076923076923,human
H136,7,0.5,human
H136,8,0.631578947368421,human
H136,9,0.5333333333333333,human
H136,10,0.6428571428571429,human
H136,11,0.38461538461538464,human
H136,12,0.5833333333333334,human
H136,13,0.6363636363636364,human
H136,14,0.4,human
H136,15,0.7777777777777778,human
H136,16,0.4444444444444444,human
H136,17,0.5714285714285714,human
H136,18,0.4,human
H136,19,0.8,human
H136,20,0.2,human
H136,21,0.25,human
H136,22,0.5,human
H136,23,0.6666666666666666,human
H136,24,1.0,human
H136,25,0.0,human
H136,26,0.0,human
H136,27,1.0,human
H136,28,0.0,human
H136,29,1.0,human
H137,1,0.673469387755102,human
H137,2,0.6341463414634146,human
H137,3,0.65,human
H137,4,0.5405405405405406,human
H137,5,0.5882352941176471,human
H137,6,0.5625,human
H137,7,0.5333333333333333,human
H137,8,0.7142857142857143,human
H137,9,0.46153846153846156,human
H137,10,0.6363636363636364,human
H137,11,0.65,human
H137,12,0.5294117647058824,human
H137,13,0.625,human
H137,14,0.5384615384615384,human
H137,15,0.45454545454545453,human
H137,16,0.75,human
H137,17,0.375,human
H137,18,0.8,human
H137,19,0.6,human
H137,20,0.75,human
H137,21,0.25,human
H137,22,0.25,human
H137,23,0.25,human
H137,24,1.0,human
H137,25,0.0,human
H138,1,0.5957446808510638,human
H138,2,0.6153846153846154,human
H138,3,0.5,human
H138,4,0.625,human
H138,5,0.6666666666666666,human
H138,6,1.0,human
H139,1,0.5454545454545454,human
H139,2,0.6153846153846154,human
H139,3,0.5294117647058824,human
H139,4,0.4838709677419355,human
H139,5,0.5,human
H139,6,0.36,human
H139,7,0.5454545454545454,human
H139,8,0.35,human
H139,9,0.6666666666666666,human
H139,10,0.5,human
H139,11,0.4166666666666667,human
H139,12,0.6363636363636364,human
H139,13,0.2727272727272727,human
H139,14,0.7,human
H139,15,0.7777777777777778,human
H139,16,0.5555555555555556,human
H139,17,0.5,human
H139,18,0.6,human
H139,19,0.25,human
H139,20,0.25,human
H139,21,0.0,human
H139,22,1.0,human
H139,23,0.0,human
H139,24,0.0,human
H139,25,0.0,human
H139,26,1.0,human
H139,27,0.0,human
H139,28,1.0,human
H139,29,0.0,human
H140,1,0.48214285714285715,human
H140,2,0.5555555555555556,human
H140,3,0.4528301886792453,human
H140,4,0.6346153846153846,human
H140,5,0.4489795918367347,human
H140,6,0.5957446808510638,human
H140,7,0.5111111111111111,human
H140,8,0.4634146341463415,human
H140,9,0.55,human
H140,10,0.525,human
H140,11,0.5128205128205128,human
H140,12,0.4411764705882353,human
H140,13,0.5,human
H140,14,0.625,human
H140,15,0.5,human
H140,16,0.7142857142857143,human
H140,17,0.5925925925925926,human
H140,18,0.5652173913043478,human
H140,19,0.6363636363636364,human
H140,20,0.6111111111111112,human
