n_trials,n_fixations,allfix_count_relevant_per_trial,allfix_duration_mean_relevant,allfix_count_relevant,allfix_count_irrelevant_per_trial,allfix_duration_mean_irrelevant,allfix_count_irrelevant,firstfix_count_relevant_per_trial,firstfix_duration_mean_relevant,firstfix_count_relevant,firstfix_count_irrelevant_per_trial,firstfix_duration_mean_irrelevant,firstfix_count_irrelevant,revisit_count_relevant_per_trial,revisit_duration_mean_relevant,revisit_count_relevant,revisit_count_irrelevant_per_trial,revisit_duration_mean_irrelevant,revisit_count_irrelevant,firstfix_prop_time_relevant,firstfix_prop_time_irrelevant,revisit_prop_time_relevant,revisit_prop_time_irrelevant,time_share_firstfix,time_share_revisit,subject
47,103,1.297872340425532,1071.0983606557377,61,0.8936170212765957,694.6904761904761,42,1.1914893617021276,1022.0714285714286,56,0.8085106382978723,675.3684210526316,38,0.10638297872340426,1620.2,5,0.0851063829787234,878.25,4,0.690422195416164,0.30957780458383594,0.6975202342001033,0.30247976579989666,0.8771187337325688,0.12288126626743127,138
44,366,4.25,553.9197860962566,187,4.068181818181818,644.2290502793296,179,1.5454545454545454,439.5147058823529,68,1.3181818181818181,569.7241379310345,58,2.7045454545454546,619.2941176470588,119,2.75,679.9421487603306,121,0.47491697255724524,0.5250830274427548,0.47250415146599645,0.5274958485340036,0.2874874371859297,0.7125125628140704,139
56,924,8.732142857142858,467.34560327198363,489,7.767857142857143,403.4206896551724,435,2.267857142857143,424.79527559055117,127,2.232142857142857,420.04,125,6.464285714285714,482.27348066298345,362,5.535714285714286,396.7193548387097,310,0.5067822721551093,0.49321772784489076,0.5867034540236452,0.41329654597635485,0.2634869560912826,0.7365130439087174,140
53,383,3.8679245283018866,479.5609756097561,205,3.358490566037736,438.185393258427,178,2.0,475.70754716981133,106,1.7358490566037736,457.9130434782609,92,1.8679245283018868,483.6868686868687,99,1.6226415094339623,417.0813953488372,86,0.5448229663003901,0.45517703369960993,0.5717338873367243,0.4282661126632758,0.5249536320168796,0.47504636798312033,141
37,109,1.5135135135135136,388.7142857142857,56,1.4324324324324325,254.67924528301887,53,1.0810810810810811,354.725,40,1.054054054054054,221.64102564102564,39,0.43243243243243246,473.6875,16,0.3783783783783784,346.7142857142857,14,0.6214251302938729,0.3785748697061271,0.6095873884018338,0.39041261159816615,0.6474508024726365,0.35254919752736347,142
56,296,2.892857142857143,649.283950617284,162,2.392857142857143,541.2835820895523,134,1.6785714285714286,669.5425531914893,94,1.3928571428571428,555.3846153846154,78,1.2142857142857142,621.2794117647059,68,1.0,521.6428571428571,56,0.5923092125695248,0.40769078743047515,0.5912061461817266,0.40879385381827343,0.5979033964302595,0.4020966035697405,144
48,1561,19.333333333333332,641.9224137931035,928,13.1875,532.6413902053713,633,2.9583333333333335,985.7183098591549,142,2.4375,434.28205128205127,117,16.375,579.8117048346056,786,10.75,554.9437984496124,516,0.7336712390516975,0.26632876094830255,0.6141253741158335,0.3858746258841666,0.2045127596032013,0.7954872403967986,146
44,215,2.227272727272727,447.9591836734694,98,2.659090909090909,464.79487179487177,117,1.3181818181818181,407.6551724137931,58,1.4545454545454546,433.375,64,0.9090909090909091,506.4,40,1.2045454545454546,502.7358490566038,53,0.4601790579992215,0.5398209420007785,0.43188844587535447,0.5681115541246455,0.522786703431996,0.477213296568004,148
56,906,9.946428571428571,842.1364452423699,557,6.232142857142857,760.4040114613181,349,2.1964285714285716,825.9268292682926,123,1.6785714285714286,734.3085106382979,94,7.75,846.7304147465438,434,4.553571428571429,770.0235294117647,255,0.5954317934049961,0.4045682065950039,0.6517504172305116,0.34824958276948836,0.23230140608427247,0.7676985939157275,149
56,1169,12.357142857142858,736.6560693641618,692,8.517857142857142,648.4947589098532,477,2.9285714285714284,797.1585365853658,164,2.517857142857143,738.0780141843971,141,9.428571428571429,717.8636363636364,528,6.0,610.9017857142857,336,0.5567816424832732,0.4432183575167268,0.6486997150412035,0.3513002849587965,0.2866604484445085,0.7133395515554916,150
