subject,predictor,mean,sd,lo,hi
110,is_recency_k_z,0.0343756838770393,0.04366103887233745,-0.04961088619158848,0.12199747610145306
110,abs_reward_k_z,0.09228577417976944,0.03421490969239381,0.025177223988237758,0.15793852264446198
110,signed_reward_k_z,5.521967190807769e-4,0.027854479061257025,-0.05385836636030911,0.05405108339335885
110,is_prev_fixation_k_z,0.19580456313957992,0.028534466842879875,0.1416593016952471,0.2529475986457174
111,share_k_z,0.06976793094058387,0.05728303373414593,-0.04148047374618497,0.1923314029017299
111,dist_cw_z,-0.08065445980625972,0.0614264750190048,-0.2154389611497106,0.03405644460180253
111,dist_ccw_z,-0.12586645014145145,0.11026321428968447,-0.34803708805381844,0.08129318311884172
111,enc_lag_fwd_z,-0.06267497011908142,0.1349931640842406,-0.3330508967088846,0.20886619789122068
111,enc_lag_bwd_z,0.033584489118151095,0.1386550839279235,-0.24241961731630335,0.31775871218628715
111,is_primacy_k_z,-0.009638409041294285,0.09521246006672614,-0.20315365909504335,0.1777040578165909
111,is_recency_k_z,0.03199271926149445,0.08457913900564148,-0.12950278256462117,0.21161516704112404
111,abs_reward_k_z,0.007379664665569469,0.08356156373162389,-0.1581556463485596,0.17625358811907807
111,signed_reward_k_z,-0.005377290336210497,0.06762553450936486,-0.14728565057967527,0.1274359373896444
111,is_prev_fixation_k_z,-0.07071182485769241,0.15496886567099977,-0.3807717945859554,0.215503972981759
113,share_k_z,0.07209597062665028,0.05700603575898086,-0.03713209158496511,0.1967419098124008
113,dist_cw_z,-0.08769043969176962,0.05939290196279619,-0.21786203774487464,0.020855252171470176
113,dist_ccw_z,-0.1538888067066632,0.0989233553544648,-0.3589897224919851,0.030343242055379083
113,enc_lag_fwd_z,-0.023380657873116904,0.13474232357587063,-0.28066339163329646,0.25545999426728866
113,enc_lag_bwd_z,0.05982114856487276,0.1403273415147263,-0.20389919176877858,0.3466200658274898
113,is_primacy_k_z,-0.029382965617284453,0.0947490193317101,-0.22374687618447855,0.15412859776601723
113,is_recency_k_z,0.0386167777752874,0.08381294168660582,-0.11615540300293277,0.21980935362276255
113,abs_reward_k_z,0.012015813501842958,0.0862102786008675,-0.16879736548094273,0.181666087128379
113,signed_reward_k_z,0.020183146176764654,0.063492062874187,-0.09665759610817311,0.15569578297041017
113,is_prev_fixation_k_z,-0.12164377207444654,0.13253665491983518,-0.39987173067055687,0.11670765739371138
114,share_k_z,0.07092412820652721,0.0318486265894793,0.01023339132190143,0.13709037428543105
114,dist_cw_z,0.004196497385158956,0.03735183156344105,-0.06340873138206174,0.08299225794196874
114,dist_ccw_z,-0.041087927998801364,0.04080048506960857,-0.11762635858263605,0.03868734231199065
114,enc_lag_fwd_z,-0.030224832062712818,0.07690202632248903,-0.17945276367029125,0.12496137756706578
114,enc_lag_bwd_z,-0.19203797981002527,0.07355313419702521,-0.3414591447079345,-0.047555422799988034
114,is_primacy_k_z,0.06965620850793493,0.05540041794638157,-0.03937153779203159,0.17917421770830538
114,is_recency_k_z,0.05851002155371653,0.04897136270198495,-0.031029082000870963,0.1559867114164307
114,abs_reward_k_z,-0.00475615883624505,0.03984314666547768,-0.08309773034769365,0.07257070331044037
114,signed_reward_k_z,-0.003478923962897395,0.03460016158344651,-0.07329221998323045,0.06261610106238134
114,is_prev_fixation_k_z,0.29037975323202225,0.032488514898738254,0.2254437489742827,0.35291719749720696
115,share_k_z,0.05501110978758313,0.037934369737572436,-0.022165568322495444,0.13125335138086966
115,dist_cw_z,-0.04256349106880143,0.03870644228021247,-0.11694172519623529,0.03653838595460263
115,dist_ccw_z,-0.08634127863905784,0.05166085697110155,-0.18560898158478428,0.01585932561519393
115,enc_lag_fwd_z,-0.03313851334373752,0.08958934303303666,-0.21052884609565717,0.14368917890145408
115,enc_lag_bwd_z,-0.052075763992199126,0.08902845083307692,-0.22606389305555072,0.12145984742503949
115,is_primacy_k_z,0.030249931080451698,0.062226024450828345,-0.09054852964879889,0.15645419306707783
115,is_recency_k_z,0.06666476518144347,0.05899094245312714,-0.03733690385408462,0.19193014078926862
115,abs_reward_k_z,0.008333239377699236,0.047335916595447045,-0.08363098044150748,0.1012421071987466
115,signed_reward_k_z,-0.003412442823031449,0.04185660453530589,-0.08942614650404938,0.0792708616739042
115,is_prev_fixation_k_z,0.1366554805514809,0.051109527463741866,0.030347355898600294,0.23790331354655664
116,share_k_z,0.03353126908898293,0.025901427437897053,-0.01807429020861287,0.08273281569284725
116,dist_cw_z,-0.10083218320791813,0.024380216762031507,-0.1483470916414306,-0.05452552070530726
116,dist_ccw_z,-0.0990870414552036,0.025691715476955552,-0.1499694451416102,-0.04777617256005619
116,enc_lag_fwd_z,-0.17770355513455727,0.04942234330451393,-0.27338612004882157,-0.07866142315510033
116,enc_lag_bwd_z,-0.16723690749751582,0.05261214018210973,-0.26962201846101796,-0.06669391006884078
116,is_primacy_k_z,0.04460898810467956,0.03548527297591588,-0.02563776399234252,0.11377857883203502
116,is_recency_k_z,0.007740266139449746,0.034996596538083236,-0.06435631127976985,0.07898008842248254
116,abs_reward_k_z,0.09917915586946671,0.03185739412252198,0.03882695098072388,0.16247602733317024
116,signed_reward_k_z,0.029105497163833788,0.025874121546461924,-0.02310347437085037,0.07865218093350819
116,is_prev_fixation_k_z,0.20918526799287665,0.021525239025866442,0.16721964138555456,0.2511210810497679
117,share_k_z,0.0728835458115738,0.04366210560366684,-0.01402944645711902,0.16021326475350955
117,dist_cw_z,-0.09079769814007417,0.04784606694583036,-0.18966216091269814,-0.003699758616522303
117,dist_ccw_z,-0.18993700894656032,0.07162418868566303,-0.3323991077889344,-0.05353818155182928
117,enc_lag_fwd_z,-0.0316551828583088,0.10248004671123287,-0.22195894377966718,0.185255141716906
117,enc_lag_bwd_z,-0.03399490092925764,0.10764427599400216,-0.24878234217473408,0.18345009063424444
117,is_primacy_k_z,-0.020297599577740702,0.06949629775093054,-0.166420494511417,0.1142990787138395
117,is_recency_k_z,-0.03516979530872012,0.06889891081244127,-0.18386632231986044,0.09036029939613378
117,abs_reward_k_z,0.03789503952791576,0.06482333819829171,-0.09165434905325788,0.16409189839347366
117,signed_reward_k_z,0.060909186224212326,0.05567672188874194,-0.03767729351341865,0.18178745377026906
117,is_prev_fixation_k_z,0.1547325427882421,0.05701149230198088,0.04020822404990994,0.26393264177129216
118,share_k_z,0.08572746423437669,0.04316296209171047,0.004314906270259635,0.1773213721432319
118,dist_cw_z,-0.04614702952385318,0.043704014705232164,-0.13100738773600634,0.04210549982895354
118,dist_ccw_z,0.013114084354845353,0.061940676681829634,-0.10827459886356791,0.138038600325333
118,enc_lag_fwd_z,-0.08521153491054198,0.09738004057829823,-0.2816287005391552,0.09729546476027934
118,enc_lag_bwd_z,-0.014450911746222721,0.09959364583886642,-0.20690556784481862,0.1954547908380389
118,is_primacy_k_z,-0.06496378034771243,0.07102956966810961,-0.20746379295808842,0.07152126821863762
118,is_recency_k_z,0.04691422210512159,0.06735504875870356,-0.07831380330189547,0.19394665923752685
118,abs_reward_k_z,0.014098050353747445,0.0606009335944157,-0.1054727568150198,0.13077520924630898
118,signed_reward_k_z,0.009916207513408876,0.04988337402447574,-0.08927122968910549,0.11232777981261222
118,is_prev_fixation_k_z,-0.06029280067948155,0.0667757216347328,-0.19733510779927343,0.06417600412125056
119,share_k_z,0.026424232107669792,0.04588921547787478,-0.0668278636871525,0.1151355023375252
119,dist_cw_z,-0.1199265168246757,0.053060012994513385,-0.23987380152352808,-0.026079292435321904
119,dist_ccw_z,-0.16655504643129895,0.0745360477865031,-0.31714949488154603,-0.023406093710742572
119,enc_lag_fwd_z,-0.197479896417041,0.1073449594771013,-0.4234164118368283,-0.006979149533209517
119,enc_lag_bwd_z,0.09659974696835608,0.12410726555610282,-0.12919176422712406,0.35442542817205774
119,is_primacy_k_z,0.08835935087983313,0.07545908244242043,-0.055215340090273846,0.24479794603953137
119,is_recency_k_z,0.1077109299183441,0.08422117222242405,-0.028785114323561834,0.2887040756736179
119,abs_reward_k_z,0.02844618987369461,0.06363740736615214,-0.09843744982244543,0.15333502955586947
119,signed_reward_k_z,0.025716603648452744,0.05141565139900011,-0.07411690554860972,0.125379450872672
119,is_prev_fixation_k_z,0.13408020758124542,0.06209440803187424,0.010225004800211554,0.25301861694608896
120,share_k_z,0.047757959057559314,0.03936612677777128,-0.031892946584783054,0.12370034952711904
120,dist_cw_z,-0.06295215300448571,0.042514463516808605,-0.14972428148212397,0.020823581366616307
120,dist_ccw_z,-0.017855582414491786,0.05833919484593408,-0.12958066114720343,0.09512781477577713
120,enc_lag_fwd_z,-0.05495702932032889,0.09111971343296761,-0.22730012897893534,0.1225081227092783
120,enc_lag_bwd_z,0.02610882425789316,0.09767098155264428,-0.15929019107339276,0.2192248414581548
120,is_primacy_k_z,-0.05094960523197861,0.0644594552938767,-0.1773807111524906,0.0765744568571095
