thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,encoding,attention,26.0406754167052,29.05565887503326,26,5,Animal_Land_Pattern_Large,-7,-7,1,0.7795707915211096,,,,,,,,
,,encoding,fixation,29.055789125035517,29.559279583278112,27,5,Animal_Sea_Solid_Small,9,,,,,,,,,,,
,,encoding,image,29.559383958228864,30.568146583274938,27,5,Animal_Sea_Solid_Small,9,,,,,,,,,,,
,,encoding,value,30.5682623750763,36.57732024998404,27,5,Animal_Sea_Solid_Small,9,,,,,,,,,,,
,,encoding,attention,36.57742762507405,39.58726429170929,27,5,Animal_Sea_Solid_Small,9,None,None,None,,,,,,,,
,,encoding,fixation,39.587371958303265,40.59160649997648,28,5,Object_Land_Pattern_Large,1,,,,,,,,,,,
,,encoding,image,40.5917370832758,41.60063062503468,28,5,Object_Land_Pattern_Large,1,,,,,,,,,,,
,,encoding,value,41.60073691664729,47.61037137499079,28,5,Object_Land_Pattern_Large,1,,,,,,,,,,,
,,encoding,attention,47.61047579161823,50.62110200000461,28,5,Object_Land_Pattern_Large,1,None,None,None,,,,,,,,
,,encoding,fixation,50.62130191666074,51.12471329164691,29,5,Object_Land_Solid_Large,3,,,,,,,,,,,
,,encoding,image,51.12481795833446,52.132615708280355,29,5,Object_Land_Solid_Large,3,,,,,,,,,,,
,,encoding,value,52.13270525005646,58.14084079163149,29,5,Object_Land_Solid_Large,3,,,,,,,,,,,
,,encoding,attention,58.14102345833089,61.153519749990664,29,5,Object_Land_Solid_Large,3,+3,1,1.102864291635342,,,,,,,,
,,encoding,fixation,61.15365329163615,62.40799745824188,30,5,Animal_Sea_Pattern_Small,-9,,,,,,,,,,,
,,encoding,image,62.4081060832832,63.41778804163914,30,5,Animal_Sea_Pattern_Small,-9,,,,,,,,,,,
,,encoding,value,63.41789174999576,69.42667191661894,30,5,Animal_Sea_Pattern_Small,-9,,,,,,,,,,,
,,encoding,attention,69.42678837501444,72.44159549998585,30,5,Animal_Sea_Pattern_Small,-9,-9,1,1.8311321249930188,,,,,,,,
,,n-back,,,,121,5,,,,0,None,B,True,None,,,,,
,,n-back,,,,122,5,,,,1,None,N,False,None,,,,,
,,n-back,,,,123,5,,,,1,None,X,False,None,,,,,
,,n-back,,,,124,5,,,,0,None,N,True,None,,,,,
,,n-back,,,,125,5,,,,1,None,Z,False,None,,,,,
,,n-back,,,,126,5,,,,0,0.9438202081946656,X,False,1,,,,,
,,n-back,,,,127,5,,,,1,None,X,False,None,,,,,
,,n-back,,,,128,5,,,,0,None,X,True,None,,,,,
,,n-back,,,,129,5,,,,0,0.46515145839657634,N,False,1,,,,,
,,n-back,,,,130,5,,,,1,None,B,False,None,,,,,
,,n-back,,,,131,5,,,,0,0.6859780000522733,V,False,1,,,,,
,,n-back,,,,132,5,,,,1,None,V,False,None,,,,,
