subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H105,4,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,leave
H105,5,-0.3333333333333333,0.0,0.3333333333333333,human,leave
H105,6,1.0,1.0,0.0,human,leave
H106,1,-0.05555555555555558,0.3333333333333333,0.3888888888888889,human,leave
H106,2,0.0,0.2,0.2,human,leave
H106,3,-0.23076923076923078,0.15384615384615385,0.38461538461538464,human,leave
H106,4,0.0,0.2,0.2,human,leave
H106,5,0.0,0.2857142857142857,0.2857142857142857,human,leave
H106,6,-0.2,0.0,0.2,human,leave
H106,7,-0.09999999999999998,0.2,0.3,human,leave
H108,1,-0.12,0.28,0.4,human,leave
H108,2,-0.16666666666666669,0.3333333333333333,0.5,human,leave
H108,3,0.08695652173913043,0.2608695652173913,0.17391304347826086,human,leave
H108,4,0.2727272727272727,0.45454545454545453,0.18181818181818182,human,leave
H108,5,-0.14285714285714285,0.14285714285714285,0.2857142857142857,human,leave
H108,6,0.04999999999999999,0.35,0.3,human,leave
H108,7,0.027777777777777762,0.2222222222222222,0.19444444444444445,human,leave
H109,1,0.10526315789473684,0.2631578947368421,0.15789473684210525,human,leave
H109,2,-0.2,0.2,0.4,human,leave
H109,3,0.25,0.375,0.125,human,leave
H109,4,-0.2,0.0,0.2,human,leave
H109,5,0.5,0.5,0.0,human,leave
H109,6,0.0,0.0,0.0,human,leave
H109,7,1.0,1.0,0.0,human,leave
H110,1,0.0,0.3333333333333333,0.3333333333333333,human,leave
H110,2,-0.3529411764705882,0.11764705882352941,0.47058823529411764,human,leave
H110,3,-0.0625,0.3125,0.375,human,leave
H110,4,-0.375,0.0,0.375,human,leave
H110,5,-0.06666666666666671,0.3333333333333333,0.4,human,leave
H110,6,-0.06666666666666665,0.26666666666666666,0.3333333333333333,human,leave
