subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H114,14,0.5,0.5,0.0,human,take
H114,15,0.4444444444444445,0.5555555555555556,0.1111111111111111,human,take
H114,16,0.42857142857142855,0.5714285714285714,0.14285714285714285,human,take
H114,17,0.2,0.4,0.2,human,take
H114,18,0.2,0.4,0.2,human,take
H114,19,0.0,0.2,0.2,human,take
H114,20,0.5,0.5,0.0,human,take
H114,21,0.75,0.75,0.0,human,take
H114,22,0.75,0.75,0.0,human,take
H114,23,0.3333333333333333,0.3333333333333333,0.0,human,take
H114,24,-0.6666666666666666,0.0,0.6666666666666666,human,take
H114,25,0.6666666666666666,0.6666666666666666,0.0,human,take
H114,26,0.3333333333333333,0.3333333333333333,0.0,human,take
H114,27,0.3333333333333333,0.6666666666666666,0.3333333333333333,human,take
H114,28,0.3333333333333333,0.3333333333333333,0.0,human,take
H114,29,0.6666666666666666,0.6666666666666666,0.0,human,take
H114,30,0.3333333333333333,0.3333333333333333,0.0,human,take
H114,31,0.3333333333333333,0.6666666666666666,0.3333333333333333,human,take
H114,32,0.0,0.3333333333333333,0.3333333333333333,human,take
H114,33,0.3333333333333333,0.6666666666666666,0.3333333333333333,human,take
H114,34,0.5,0.5,0.0,human,take
H114,35,-0.5,0.0,0.5,human,take
H114,36,1.0,1.0,0.0,human,take
H114,37,-1.0,0.0,1.0,human,take
H114,38,1.0,1.0,0.0,human,take
H115,1,0.0967741935483871,0.25806451612903225,0.16129032258064516,human,take
H115,2,-0.07142857142857142,0.21428571428571427,0.2857142857142857,human,take
H115,3,0.037037037037037035,0.2222222222222222,0.18518518518518517,human,take
H115,4,-0.2608695652173913,0.17391304347826086,0.43478260869565216,human,take
H115,5,0.14285714285714285,0.2857142857142857,0.14285714285714285,human,take
H115,6,0.05882352941176469,0.23529411764705882,0.17647058823529413,human,take
H115,7,-0.1875,0.125,0.3125,human,take
H115,8,0.23076923076923078,0.38461538461538464,0.15384615384615385,human,take
H115,9,0.18181818181818182,0.36363636363636365,0.18181818181818182,human,take
H115,10,0.39999999999999997,0.6,0.2,human,take
H115,11,0.125,0.125,0.0,human,take
H115,12,0.25,0.375,0.125,human,take
H115,13,0.0,0.375,0.375,human,take
H115,14,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,take
