phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,thisRow.t,notes,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 20
encoding,fixation,4,25457176,25458429,25457429.0,25458665.0,1237.0,1000.0,1918.8,1078.5,1920.0,1080.0,fixation,,,45.43118374998448,46.68491791663109,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,image,4,25458430,25459441,25458703.0,25460147.0,1445.0,738.0,1933.2,1419.6,1920.0,700.0,Object_Sea_Solid_Large,,,46.68503862500074,47.696593999979086,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25460159.0,25460675.0,517.0,517.0,1931.3,1357.4,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25460849.0,25462076.0,1228.0,1228.0,1912.1,1446.8,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25462327.0,25462434.0,108.0,108.0,1798.6,1356.3,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25462456.0,25463184.0,729.0,729.0,1923.7,1419.2,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25463193.0,25463838.0,646.0,646.0,1907.8,1437.7,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25464028.0,25464665.0,638.0,638.0,1926.9,1354.5,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25464686.0,25465212.0,527.0,527.0,1919.5,1443.6,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,value,4,25459441,25465450,25465409.0,25465712.0,304.0,41.0,1904.5,1436.0,1920.0,700.0,Object_Sea_Solid_Large,,,47.69668924997677,53.705559958325466,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
