subject,game,trial_number,decision_label,feature_dim,option,choice,correct,prop_relevant,chance_relevant,delta_relevant
108,1,1,take,texture,Solid,1.0,0.0,0.4942028985507246,0.4999999999999999,-0.00579710144927531
108,1,2,take,size,Small,1.0,1.0,0.6145255640811365,0.4999999999999999,0.11452556408113651
108,1,3,leave,animacy,Animal,0.0,1.0,0.932433964403129,0.4999999999999999,0.43243396440312887
108,1,4,take,environment,Sea,1.0,1.0,0.6571203363110877,0.4999999999999999,0.1571203363110876
108,1,5,take,size,Large,1.0,0.0,0.4454737159210724,0.4999999999999999,-0.054526284078927505
108,1,6,leave,texture,Pattern,0.0,0.0,1.0,0.4999999999999999,0.5
108,1,7,leave,animacy,Object,0.0,0.0,0.8887481528393498,0.4999999999999999,0.38874815283934977
108,1,8,leave,environment,Land,0.0,1.0,0.6960300217262492,0.4999999999999999,0.1960300217262492
108,2,9,take,texture,Pattern,1.0,0.0,0.5328550464699168,0.4999999999999999,0.0328550464699167
108,2,10,leave,environment,Sea,0.0,1.0,0.34882090503505414,0.4999999999999999,-0.1511790949649457
108,2,11,take,environment,Land,1.0,1.0,0.9563984402694079,0.4999999999999999,0.4563984402694079
108,2,12,leave,texture,Solid,0.0,1.0,0.8687150837988827,0.4999999999999999,0.36871508379888274
108,2,13,leave,size,Large,0.0,1.0,0.9322429906542055,0.4999999999999999,0.4322429906542056
108,2,14,leave,animacy,Animal,0.0,1.0,0.9013477088948788,0.4999999999999999,0.40134770889487875
