seed,statistic,location,decoder,r2,shuffle,shuffle_iter
8,lambda,3,MLP,-0.034268460122922215,True,7
8,lambda,3,Ridge,-0.0008063454401672221,True,8
8,lambda,3,MLP,-0.03492913646578799,True,8
8,lambda,3,Ridge,-0.0010140295166465307,True,9
8,lambda,3,MLP,-0.03470218111744661,True,9
8,lambda,4,Ridge,0.7732979992442519,False,-1
8,lambda,4,MLP,0.9318260204557083,False,-1
8,lambda,4,Ridge,-0.0005863968571594213,True,0
8,lambda,4,MLP,-0.03655968310915094,True,0
8,lambda,4,Ridge,-0.0006253069412263113,True,1
8,lambda,4,MLP,-0.04385786445005557,True,1
8,lambda,4,Ridge,-0.0005257461130147245,True,2
8,lambda,4,MLP,-0.04185735998222091,True,2
8,lambda,4,Ridge,-0.0008207692847873371,True,3
8,lambda,4,MLP,-0.037337953331111604,True,3
8,lambda,4,Ridge,-0.000863286485429704,True,4
8,lambda,4,MLP,-0.03614695811596671,True,4
8,lambda,4,Ridge,-0.0010522972270024856,True,5
8,lambda,4,MLP,-0.03413067640783853,True,5
8,lambda,4,Ridge,-0.000935596278633577,True,6
8,lambda,4,MLP,-0.04201980294234002,True,6
8,lambda,4,Ridge,-0.0009165282178440481,True,7
8,lambda,4,MLP,-0.04012221996310807,True,7
8,lambda,4,Ridge,-0.0009626219091810384,True,8
8,lambda,4,MLP,-0.035495300446864775,True,8
8,lambda,4,Ridge,-0.0009487702031606649,True,9
8,lambda,4,MLP,-0.037241840830524085,True,9
8,lambda,5,Ridge,0.7866996407967356,False,-1
8,lambda,5,MLP,0.9437936238929797,False,-1
8,lambda,5,Ridge,-0.0005663488406434603,True,0
8,lambda,5,MLP,-0.041020269315948134,True,0
8,lambda,5,Ridge,-0.0006684954021386691,True,1
8,lambda,5,MLP,-0.03947652317917307,True,1
8,lambda,5,Ridge,-0.0009232323821140476,True,2
8,lambda,5,MLP,-0.03667284762595302,True,2
8,lambda,5,Ridge,-0.0009369069280012798,True,3
8,lambda,5,MLP,-0.04293806968908624,True,3
8,lambda,5,Ridge,-0.0006096181848599169,True,4
8,lambda,5,MLP,-0.04089391918585465,True,4
8,lambda,5,Ridge,-0.0006619596569593878,True,5
8,lambda,5,MLP,-0.03982296375692851,True,5
8,lambda,5,Ridge,-0.0006681060475759893,True,6
8,lambda,5,MLP,-0.03850393210108298,True,6
8,lambda,5,Ridge,-0.0011055193789100582,True,7
8,lambda,5,MLP,-0.04267916718250016,True,7
8,lambda,5,Ridge,-0.0007642365869903412,True,8
8,lambda,5,MLP,-0.035548035924548985,True,8
8,lambda,5,Ridge,-0.0005755096353993849,True,9
8,lambda,5,MLP,-0.03737658478532548,True,9
8,rho,0,Ridge,0.802891380846425,False,-1
8,rho,0,MLP,0.976991292803034,False,-1
8,rho,0,Ridge,-0.0007568457679730134,True,0
8,rho,0,MLP,-0.045911208280923745,True,0
8,rho,0,Ridge,-0.0007198860401325558,True,1
8,rho,0,MLP,-0.05047439727971503,True,1
8,rho,0,Ridge,-0.0010269992459782883,True,2
8,rho,0,MLP,-0.04819542161326189,True,2
8,rho,0,Ridge,-0.0005299058782997079,True,3
8,rho,0,MLP,-0.047098530783074334,True,3
8,rho,0,Ridge,-0.000764018281804324,True,4
8,rho,0,MLP,-0.05011387834044778,True,4
8,rho,0,Ridge,-0.0006223037388586761,True,5
8,rho,0,MLP,-0.04900940480511138,True,5
8,rho,0,Ridge,-0.0004857613894404977,True,6
8,rho,0,MLP,-0.04742395968331965,True,6
8,rho,0,Ridge,-0.0004669596611986293,True,7
8,rho,0,MLP,-0.04845379110412575,True,7
8,rho,0,Ridge,-0.0007013893185456421,True,8
8,rho,0,MLP,-0.04672301682394906,True,8
8,rho,0,Ridge,-0.0012377968346122703,True,9
8,rho,0,MLP,-0.04814606783947699,True,9
8,rho,1,Ridge,0.7885069772018976,False,-1
8,rho,1,MLP,0.9861835737066482,False,-1
8,rho,1,Ridge,-0.0009707456530184011,True,0
